name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
rishipal,Hindu,0.9222604657525418,0.9222604657525418,0.038332723976813816,0.006897534838107957,0.03236363382959195,6.46588455151735e-05,8.098275742937271e-05
rita,Hindu,0.9984600663381731,0.9984600663381731,0.0006470107220031224,0.00044389998683402177,0.00039217830877639814,2.3570530429230957e-05,3.3274113784150505e-05
rithaa,Hindu,0.5577181942375888,0.5577181942375888,0.03500821350736982,0.012935778336489288,0.39415101105568656,1.984379293510925e-05,0.00016695906993029772
rithes,Christian,0.5615743756669801,0.41580685283498175,0.011655541135815588,0.010917055566031956,0.5615743756669801,9.730312379032575e-06,3.6444483811666286e-05
rithu,Hindu,0.8581437867693092,0.8581437867693092,0.011424975309195999,0.10254898734860245,0.02670393087751956,9.190650438102958e-06,0.001169129044934315
riyaaj,Christian,0.4644256414638421,0.45758081647940335,0.07589901053209454,0.0020484698723511633,0.4644256414638421,1.577030779412897e-05,3.0291344514817487e-05
riyanga,Hindu,0.953993885473286,0.953993885473286,0.002981913646276142,0.0008389360846978379,0.04214669331781042,3.2997282581050695e-06,3.5271749671475554e-05
riyasat,Hindu,0.9623117140222194,0.9623117140222194,0.016236070737563734,0.0002830420811062532,0.021163659666784598,3.181993094622793e-06,2.331499231312168e-06
riyaz,Muslim,0.6279691164472601,0.34398730841823894,0.6279691164472601,0.0012321746064709938,0.026797482517805227,6.705870881935131e-06,7.21213934278121e-06
rizwan,Hindu,0.69765351792848,0.69765351792848,0.23878158969529373,0.004520255145344264,0.05806479007449802,6.540975497380183e-05,0.0009144374014100842
rna,Hindu,0.9246082046250838,0.9246082046250838,0.0062814330698338335,0.03580494109928119,0.031943688349197474,0.0006286488995941907,0.0007330839570095708
rohit,Hindu,0.9888845965126277,0.9888845965126277,0.0028792658765891053,0.0007392146148717032,0.007456990905862349,7.53860237280636e-06,3.239348767644236e-05
rohitash,Hindu,0.9916066114889935,0.9916066114889935,0.004463022732042372,0.0003788223466688016,0.0034921240481764677,1.3118609642883094e-05,4.63007744760319e-05
rokade,Hindu,0.9683000198950248,0.9683000198950248,0.009024063600754197,0.0006319508548732835,0.011425140414110366,9.208614073183339e-05,0.010526739094505523
romar,Christian,0.7678770604140056,0.22595781054091413,0.005306705186989244,0.00026827869642071433,0.7678770604140056,2.547919206739441e-05,0.0005646659696028395
roobee,Muslim,0.8239795844698019,0.1256286380058193,0.8239795844698019,0.010482673889063458,0.03975615334845996,2.5371377002755574e-05,0.00012757890985263428
roobeenaa,Hindu,0.497234497843168,0.497234497843168,0.36404697536179353,0.0077701949547933575,0.13065124653567317,2.6058097441119e-05,0.00027102720713088446
roochi,Hindu,0.8481636093699978,0.8481636093699978,0.007315972203973688,0.005947417350775103,0.13844421264456666,6.375030548875751e-06,0.0001224134001379657
roohathaas,Christian,0.6798164597823918,0.3016593089513648,0.011346008977909843,0.007088649559652366,0.6798164597823918,3.6131038301351084e-06,8.595962485109343e-05
roohith,Hindu,0.8754706795438262,0.8754706795438262,0.02387604468090162,0.04612014219531003,0.05437745463991571,1.2246699944125293e-05,0.00014343224010241964
roojee,Hindu,0.6055276447367274,0.6055276447367274,0.2749833147666224,0.02563251902894612,0.09352918663447375,1.3831348788044731e-05,0.00031350348444220556
rookade,Hindu,0.9762047143698325,0.9762047143698325,0.012717291675343799,0.0012797642695474563,0.005889680068984031,4.1271707819882416e-05,0.003867277908472443
rookamaa,Hindu,0.8444766255439214,0.8444766255439214,0.05148213885274548,0.003191966071502977,0.10042845644036694,6.162485515788357e-05,0.0003591882363052248
rookamanee,Hindu,0.8381842896463676,0.8381842896463676,0.09430673914279597,0.0012212138565202237,0.060343734863400854,5.207004561539608e-05,0.005891952445299893
rookasaanaa,Christian,0.5564958394133073,0.4177258648873667,0.024494180139300818,0.0008151180157521756,0.5564958394133073,5.08516433719639e-05,0.000418145900900946
rookasaar,Hindu,0.6377242952092023,0.6377242952092023,0.08877280135536345,0.003102147719108322,0.2699537671363256,4.553396525567095e-05,0.00040145461474457294
rookhasaanaa,Christian,0.6693323261005188,0.24883283378162838,0.07891365729320261,0.002587213822180079,0.6693323261005188,6.386404264430734e-05,0.00027010495982576906
roomaa,Christian,0.9627994290963345,0.0331690249418924,0.003275122981572493,0.0006304072470430089,0.9627994290963345,3.5590901134194693e-06,0.0001224566430441944
roonaa,Christian,0.6915104845564986,0.28035849766293175,0.023256112372328278,0.00468359614611555,0.6915104845564986,5.5191683457042995e-05,0.00013611757866887196
roop,Hindu,0.9029171256583055,0.9029171256583055,0.0076708741915896515,0.06006216070979466,0.029225855965853437,4.9796461044238495e-05,7.418701341233507e-05
roopaa,Hindu,0.848090997148072,0.848090997148072,0.018138431754309604,0.012517148615363167,0.12082873495383077,0.00024331303931985466,0.00018137448910476026
roopam,Hindu,0.9368624358955492,0.9368624358955492,0.03124268617270213,0.012241323093911832,0.019303681516846676,0.0001206841311228172,0.00022918918986727927
roopes,Hindu,0.6499262703637197,0.6499262703637197,0.015051924477337407,0.00941884183629148,0.3254665948145673,3.574894813152493e-05,0.00010061955995252931
roosan,Christian,0.43447071255280395,0.2470205827731304,0.0318454676160338,0.286354632221453,0.43447071255280395,0.00015337036971704434,0.00015523446686179336
roosanee,Christian,0.6036048853716729,0.1557073742226728,0.1898563991900353,0.05037468054996009,0.6036048853716729,6.324792848063648e-05,0.0003934127371782292
roovee,Hindu,0.789814313582695,0.789814313582695,0.018857102891087,0.0033594320498037417,0.18790444161031042,5.447825892171616e-06,5.926204021155012e-05
rosamma,Christian,0.9847999843726754,0.012744922729415513,0.0006030766873288721,0.001849507023486421,0.9847999843726754,1.100345530921248e-06,1.408841562672101e-06
roshan,Hindu,0.8426631201809498,0.8426631201809498,0.007240787052485537,0.002480547590533529,0.147160852457532,0.0003777531531166398,7.693956538273228e-05
roshanlal,Hindu,0.8697138260883917,0.8697138260883917,0.022041875312455564,0.002476957583893685,0.10555165557721301,0.00015894532799214963,5.674011005401311e-05
roto,Hindu,0.7668092458442839,0.7668092458442839,0.025608807279552104,0.05268539746795607,0.1526718969789177,0.00026186308707122386,0.0019627893422190204
rousan,Hindu,0.911379385904132,0.911379385904132,0.06546439346194177,0.008737513194024549,0.014271372318056284,3.0348976034501147e-05,0.00011698614581114915
roy,Christian,0.8123433047288263,0.10945847381634737,0.00791147370378846,0.0700008611784008,0.8123433047288263,0.00021338286181192445,7.250371082505643e-05
rubee,Muslim,0.5744822163115378,0.3153782389706199,0.5744822163115378,0.0042768303481672395,0.10552222132436102,9.834864663998688e-05,0.00024214439867394357
ruidas,Hindu,0.9719524584183813,0.9719524584183813,0.013574672657896629,0.0028282045863098374,0.01157284518010725,4.874038556314542e-06,6.694511874871144e-05
ruidis,Hindu,0.6968531281313879,0.6968531281313879,0.19937717944650163,0.0046670820138121905,0.09900990197947004,9.532883842829653e-06,8.317554498546194e-05
rukamanee,Hindu,0.694806072836761,0.694806072836761,0.24613199833683772,0.0007715737240038572,0.04644945170197073,4.643439419596703e-05,0.011794469006230813
rukasaanaa,Christian,0.5831312705182276,0.38217940137608014,0.03350104681452591,0.00038145388804030597,0.5831312705182276,4.05950782361424e-05,0.0007662323248898275
rukhasaanaa,Christian,0.6328849817238014,0.2148211637302371,0.14781553120592145,0.003273415290815378,0.6328849817238014,4.136302404081118e-05,0.0011635450251838509
rukunee,Hindu,0.6777146204405535,0.6777146204405535,0.2266974594718436,0.0026020547250780045,0.09207749738644738,8.983971872177787e-06,0.0008993840042054168
rupa,Hindu,0.9990688362303421,0.9990688362303421,8.812599568562149e-05,0.000153642349635677,0.0006007536304547308,1.3837444441372332e-05,7.480434944063963e-05
rupaa,Hindu,0.9303360304784692,0.9303360304784692,0.0042019853559675385,0.001430839009266849,0.06364826372440938,6.227426286033348e-05,0.00032060716902661984
ruparam,Hindu,0.9940404046561991,0.9940404046561991,0.0004900673708858171,0.0020002864000247195,0.0018961334188696555,0.00014169258525556066,0.001431415568764956
rupiadar,Hindu,0.9571833219237119,0.9571833219237119,0.005094179669853561,0.001143405686842419,0.03650440804225101,2.225924043319233e-05,5.242543690800046e-05
rupsinh,Hindu,0.7743902594751878,0.7743902594751878,0.09282073600156757,0.09325620976455826,0.03941773951256495,8.250944081518127e-05,3.25458053062808e-05
saabale,Muslim,0.45220952775846174,0.4003399887396368,0.45220952775846174,0.0010812697143788477,0.1459054166973358,8.052836616085249e-05,0.00038326872402604726
saabaraa,Hindu,0.45508086441960427,0.45508086441960427,0.23619262428591772,0.0016878179868153437,0.30487173713260896,0.00037810235989711385,0.00178885381515657
saabir,Muslim,0.5846730651098817,0.39656489738051753,0.5846730651098817,0.0005066375989253644,0.018226222672349655,4.7539640096722315e-06,2.4423274316100295e-05
saabitha,Muslim,0.5276593035243277,0.32367427896661594,0.5276593035243277,0.007511907095760275,0.1410452971754635,1.6129191378292812e-05,9.308404645435759e-05
saabithree,Hindu,0.4903302155118576,0.4903302155118576,0.4113936923310444,0.006137547098172551,0.09200301108831008,1.4402406884663747e-05,0.00012113156373063294
saadaab,Christian,0.4275060464624512,0.41145264985893065,0.15929127253603628,0.0014491881198979246,0.4275060464624512,0.00010243968023763197,0.0001984033424463075
saadhanaa,Hindu,0.7625731581101469,0.7625731581101469,0.010368020610178198,0.001555945278832507,0.22471361815675037,0.00014068516107227088,0.0006485726830197223
saadhoo,Hindu,0.8535807220043037,0.8535807220043037,0.040367158885168265,0.0032176956485180383,0.10247202657065821,2.067508371146541e-05,0.0003417218076402061
