name,type,gender,religion,region,n,hand,clf,score
aujla,last,,Sikh,ALL,75.0,1,0.0,0.7
sangha,last,,Sikh,ALL,1685.0,1,0.0,0.7
bhogal,last,,Sikh,ALL,2607.0,1,0.0,0.7
khangura,last,,Sikh,ALL,56.0,1,0.0,0.7
kang,last,,Sikh,ALL,1514.0,1,0.0,0.7
sing,last,,Sikh,ALL,950061.0,0,0.9998288723195872,0.2999486616958762
inderjit,last,,Sikh,ALL,8.0,0,0.944338005547053,0.28330140166411594
moosa,last,,Sikh,ALL,29554.0,0,0.9369700029948508,0.2810910008984553
tejsingh,last,,Sikh,ALL,25938.0,0,0.9336508613498476,0.28009525840495436
moohammad,last,,Sikh,ALL,149.0,0,0.9076731935437312,0.2723019580631194
kalusingh,last,,Sikh,ALL,24366.0,0,0.9042892477461528,0.2712867743238459
lalsingh,last,,Sikh,ALL,53555.0,0,0.9009560943770746,0.2702868283131224
ravuthar,last,,Sikh,ALL,7648.0,0,0.8674927729055194,0.26024783187165584
amarsingh,last,,Sikh,ALL,111361.0,0,0.865470938122695,0.25964128143680854
sulaiman,last,,Sikh,ALL,40996.0,0,0.8567949345014673,0.2570384803504402
abdullah,last,,Sikh,ALL,31755.0,0,0.7928216592308885,0.23784649776926658
hussain,last,,Sikh,ALL,82543.0,0,0.7892052567053759,0.2367615770116128
ahammad,last,,Sikh,ALL,43592.0,0,0.7653844160816636,0.22961532482449912
koya,last,,Sikh,ALL,43467.0,0,0.7609309241047467,0.22827927723142405
moo,last,,Sikh,ALL,4419.0,0,0.729257250026607,0.21877717500798213
santosh,last,,Sikh,ALL,286285.0,0,0.6966706670692848,0.2090012001207855
mohansingh,last,,Sikh,ALL,45624.0,0,0.6694752254817892,0.20084256764453678
narsingh,last,,Sikh,ALL,45450.0,0,0.6618498712437761,0.19855496137313286
kumhar,last,,Sikh,ALL,39401.0,0,0.6542730362558663,0.19628191087675992
koyal,last,,Sikh,ALL,61863.0,0,0.5818104823387494,0.17454314470162485
mohammadi,last,,Sikh,ALL,1048.0,0,0.5766398532288249,0.1729919559686475
jaysingh,last,,Sikh,ALL,44173.0,0,0.5705136980444371,0.17115410941333115
guru,last,,Sikh,ALL,45702.0,0,0.5601186077303343,0.16803558231910032
dhansingh,last,,Sikh,ALL,30311.0,0,0.5503217546691993,0.1650965264007598
naushad,last,,Sikh,ALL,33382.0,0,0.5404087173126128,0.16212261519378385
paramjit,last,,Sikh,ALL,131.0,0,0.5166906794025213,0.15500720382075642
harjinder,last,,Sikh,ALL,14.0,0,0.491359111855136,0.14740773355654083
sukhwinder,last,,Sikh,ALL,166.0,0,0.4429160953621543,0.13287482860864633
pazhaniswamikaundar,last,,Sikh,ALL,42.0,0,0.0,0.0
pazhannulal,last,,Sikh,ALL,11.0,0,0.0,0.0
pazhannilal,last,,Sikh,ALL,3.0,0,0.0,0.0
pazhamudi,last,,Sikh,ALL,3.0,0,0.0,0.0
pazhammu,last,,Sikh,ALL,4.0,0,0.0,0.0
pazhannisinh,last,,Sikh,ALL,3.0,0,0.0,0.0
pazhamisami,last,,Sikh,ALL,8.0,0,0.0,0.0
pazhamichchami,last,,Sikh,ALL,8.0,0,0.0,0.0
